barcode,product_name,front_image,ingredients_image,nutrition_image,packaging_image
8901042954677,"Badam drink mix","https://images.openfoodfacts.org/images/products/890/104/295/4677/front_en.7.full.jpg","","https://images.openfoodfacts.org/images/products/890/104/295/4677/nutrition_en.9.full.jpg",""
8901042958361,"Idli/Dosa/Chilly Chutney Powder","https://images.openfoodfacts.org/images/products/890/104/295/8361/front_hi.3.full.jpg","https://images.openfoodfacts.org/images/products/890/104/295/8361/ingredients_en.8.full.jpg","https://images.openfoodfacts.org/images/products/890/104/295/8361/nutrition_en.11.full.jpg",""
8901052087426,"Green tea","https://images.openfoodfacts.org/images/products/890/105/208/7426/front_en.5.full.jpg;https://images.openfoodfacts.org/images/products/890/105/208/7426/front_hi.7.full.jpg","","",""
8901058844894,"maggi rich tomato ketchup pichkoo","https://images.openfoodfacts.org/images/products/890/105/884/4894/front_en.10.full.jpg;https://images.openfoodfacts.org/images/products/890/105/884/4894/front_hi.3.full.jpg","https://images.openfoodfacts.org/images/products/890/105/884/4894/ingredients_en.12.full.jpg","",""
8901058850680,"MAGGI MASALA NOODLES","https://images.openfoodfacts.org/images/products/890/105/885/0680/front_hi.7.full.jpg;https://images.openfoodfacts.org/images/products/890/105/885/0680/front_en.5.full.jpg","","",""
8901058851298,"Maggi 2-minutes Noodles","https://images.openfoodfacts.org/images/products/890/105/885/1298/front_en.31.full.jpg","https://images.openfoodfacts.org/images/products/890/105/885/1298/ingredients_en.10.full.jpg","https://images.openfoodfacts.org/images/products/890/105/885/1298/nutrition_en.20.full.jpg",""
8901058851304,"Maggi Masala Noodles","https://images.openfoodfacts.org/images/products/890/105/885/1304/front_en.36.full.jpg","https://images.openfoodfacts.org/images/products/890/105/885/1304/ingredients_en.47.full.jpg","https://images.openfoodfacts.org/images/products/890/105/885/1304/nutrition_en.38.full.jpg",""
8901058851328,"Maggi 2 Minutes Noodles Masala","https://images.openfoodfacts.org/images/products/890/105/885/1328/front_en.17.full.jpg;https://images.openfoodfacts.org/images/products/890/105/885/1328/front_fr.6.full.jpg","https://images.openfoodfacts.org/images/products/890/105/885/1328/ingredients_en.15.full.jpg;https://images.openfoodfacts.org/images/products/890/105/885/1328/ingredients_fr.18.full.jpg","https://images.openfoodfacts.org/images/products/890/105/885/1328/nutrition_fr.10.full.jpg",""
8901058857245,"Kitkat","https://images.openfoodfacts.org/images/products/890/105/885/7245/front_en.5.full.jpg","","",""
8901063004122,"GoodDay Choco Chip","https://images.openfoodfacts.org/images/products/890/106/300/4122/front_en.3.full.jpg","https://images.openfoodfacts.org/images/products/890/106/300/4122/ingredients_en.5.full.jpg","https://images.openfoodfacts.org/images/products/890/106/300/4122/nutrition_en.7.full.jpg",""
8901063026018,"Cracker","https://images.openfoodfacts.org/images/products/890/106/302/6018/front.3.full.jpg;https://images.openfoodfacts.org/images/products/890/106/302/6018/front_en.3.full.jpg","https://images.openfoodfacts.org/images/products/890/106/302/6018/ingredients_en.9.full.jpg","https://images.openfoodfacts.org/images/products/890/106/302/6018/nutrition_en.14.full.jpg",""
8901063093287,"Good Day Cashew Cookies","https://images.openfoodfacts.org/images/products/890/106/309/3287/front_en.18.full.jpg","https://images.openfoodfacts.org/images/products/890/106/309/3287/ingredients_en.3.full.jpg","https://images.openfoodfacts.org/images/products/890/106/309/3287/nutrition_en.7.full.jpg",""
8901063093355,"Good Day Cashew Cookies Medium Pack 600g","https://images.openfoodfacts.org/images/products/890/106/309/3355/front_en.3.full.jpg","https://images.openfoodfacts.org/images/products/890/106/309/3355/ingredients_en.29.full.jpg","https://images.openfoodfacts.org/images/products/890/106/309/3355/nutrition_en.10.full.jpg",""
8901063142015,"Nutri Choice","https://images.openfoodfacts.org/images/products/890/106/314/2015/front_en.30.full.jpg","https://images.openfoodfacts.org/images/products/890/106/314/2015/ingredients_fr.5.full.jpg;https://images.openfoodfacts.org/images/products/890/106/314/2015/ingredients_en.12.full.jpg","https://images.openfoodfacts.org/images/products/890/106/314/2015/nutrition_en.14.full.jpg",""
8901063154025,"Ragi cookies","https://images.openfoodfacts.org/images/products/890/106/315/4025/front_hi.12.full.jpg;https://images.openfoodfacts.org/images/products/890/106/315/4025/front_en.6.full.jpg","https://images.openfoodfacts.org/images/products/890/106/315/4025/ingredients_en.8.full.jpg","https://images.openfoodfacts.org/images/products/890/106/315/4025/nutrition_en.10.full.jpg",""
8901063162143,"marie Gold","https://images.openfoodfacts.org/images/products/890/106/316/2143/front_hi.3.full.jpg;https://images.openfoodfacts.org/images/products/890/106/316/2143/front_en.10.full.jpg","","",""
8901071706834,"HERSHEY'S SYRUP 623g","https://images.openfoodfacts.org/images/products/890/107/170/6834/front_en.23.full.jpg","https://images.openfoodfacts.org/images/products/890/107/170/6834/ingredients_en.12.full.jpg","https://images.openfoodfacts.org/images/products/890/107/170/6834/nutrition_en.25.full.jpg","https://images.openfoodfacts.org/images/products/890/107/170/6834/packaging_en.30.full.jpg"
8901088068734,"Saffola Masala Oats - Classic Masala","https://images.openfoodfacts.org/images/products/890/108/806/8734/front_en.19.full.jpg","https://images.openfoodfacts.org/images/products/890/108/806/8734/ingredients_en.13.full.jpg","https://images.openfoodfacts.org/images/products/890/108/806/8734/nutrition_en.16.full.jpg",""
